"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"47",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,41.2,37.8,0.4,0,242,0.25390625
"48",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2022,70.8,66.8,0.2,0,314,0.670391061452514
"49",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,58.5,48.7,0,0,216,0.122905027932961
"50",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2022,49.2,43.3,0,0,282,0.491620111731844
"51",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,45.7,38.4,0.41,0,203,0.0502793296089385
"52",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,34.5,23.8,0,0,238,0.245810055865922
"53",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2022,55.8,54.3,0.31,1,298,0.581005586592179
"54",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2022,66.2,63.4,0,0,280,0.480446927374302
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2022,49.4,46.9,0.04,1,329,0.754189944134078
"56",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2022,67.4,64.3,0.77,1,319,0.698324022346369
"57",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,38.4,24.4,0.04,0,265,0.396648044692737
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2022,40.7,28.9,0,0,311,0.653631284916201
"59",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,73.1,72.1,0,1,303,0.608938547486033
"60",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,29.7,22.4,0.1,0,305,0.620111731843575
"61",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,22.9,6.6,0,0,312,0.659217877094972
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2023,40,34.3,0,0,317,0.824242424242424
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2023,42,27,0,0,257,0.460606060606061
