"","day_reordered","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"119",3,68.1,61.2,0,0,279,0.474860335195531
"120",3,77.2,74.5,0,0,279,0.474860335195531
"121",3,38.9,24.3,0,0,277,0.463687150837989
"122",3,40.7,32.5,0.01,0,282,0.491620111731844
"123",3,49,34,0,0,295,0.564245810055866
"124",3,39.7,32.8,0.29,1,208,0.0782122905027933
"125",3,50.1,47.2,0.19,1,302,0.733333333333333
"126",3,33.3,21.8,0,0,246,0.393939393939394
"127",3,55.9,51.8,0.13,0,314,0.53515625
"128",3,57.4,45.3,0,0,322,0.56640625
"129",3,37,36.1,0,0,208,0.12109375
"130",3,68.5,65.7,0,0,245,0.387878787878788
"131",3,54.4,53.5,0.19,0,297,0.703030303030303
"132",3,40.3,24.5,0,0,260,0.478787878787879
"133",3,46.2,36.4,0,0,295,0.4609375
"134",3,70.2,60.2,0,0,301,0.484375
"135",3,32.4,25.3,0,0,245,0.265625
"136",3,58,43.1,0.09,0,318,0.55078125
"137",3,38,28.4,0.03,0,207,0.1171875
"138",3,73.8,66.5,0,0,378,0.78515625
"139",3,61.1,55.5,0.25,0,330,0.59765625
"140",3,67,66.3,0,1,289,0.654545454545455
"141",3,70.8,66.4,0.01,1,270,0.539393939393939
"142",3,57.5,50.5,0,0,320,0.55859375
"143",3,56.3,47.1,0,0,316,0.54296875
"144",3,64.8,63.2,0,0,280,0.6
"145",3,59.2,49.8,0,0,250,0.418181818181818
"146",3,71.1,68.2,0,0,254,0.442424242424242
"147",3,43.3,32.6,0,0,218,0.224242424242424
"148",3,66.2,63.4,0,0,233,0.315151515151515
"149",3,56,54.9,0.05,1,283,0.618181818181818
"150",3,45.9,36.2,0,0,268,0.35546875
"151",3,54.1,46,0.21,0,291,0.666666666666667
"152",3,46.2,44.7,0.17,1,186,0.0303030303030303
"153",3,60.7,55.8,0,0,276,0.575757575757576
"154",3,48.1,45.2,0.4,1,271,0.545454545454545
"155",4,42.6,29.7,0,0,298,0.581005586592179
"156",4,36.9,24.9,0,0,266,0.402234636871508
"157",4,75.2,72.9,0,1,283,0.497206703910615
"158",4,64.5,60.8,0.14,0,250,0.312849162011173
"159",4,56.5,35.8,0,0,231,0.206703910614525
"160",4,60.1,52.7,0.02,0,268,0.527272727272727
"161",4,45.2,40.2,0,0,295,0.564245810055866
"162",4,46.8,36.8,0.01,0,240,0.256983240223464
"163",4,30.2,20.6,0.05,0,255,0.340782122905028
"164",4,49.6,43.5,0.64,0,256,0.346368715083799
"165",4,71.6,66.5,0,0,326,0.58203125
"166",4,43.1,27.3,0.21,0,340,0.63671875
"167",4,43.1,38.3,0.05,0,221,0.171875
"168",4,53.1,47.9,0,1,327,0.5859375
"169",4,37,29.1,0,0,279,0.3984375
