"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"1719",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,34.7,21.7,0,0,532,0.297520661157025
"1720",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2016,59.2,45.1,0,0,818,0.888429752066116
"1721",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,50.8,48.5,0,1,546,0.326446280991736
"1722",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,41.3,36.8,0,0,645,0.53099173553719
"1723",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,33.9,26.2,0,0,685,0.613636363636364
"1724",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2016,57.7,47.7,0,0,780,0.809917355371901
"1725",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2016,63,51.5,0,0,748,0.743801652892562
"1726",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,58.2,56.1,0.48,1,765,0.915178571428571
"1727",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,46.8,44.2,0,1,500,0.323660714285714
"1728",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,66.6,64.4,0,1,523,0.375
"1729",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,37,28.5,0.28,0,666,0.694196428571429
"1730",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2019,63.5,56.6,0.27,0,703,0.776785714285714
"1731",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2019,40.5,30.5,0.09,0,425,0.15625
"1732",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,71.6,64.1,0,1,610,0.569196428571429
"1733",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,53.7,50.7,0,1,551,0.4375
"1734",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,73.7,67.3,0,0,645,0.647321428571429
"1735",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,44.4,40.2,0,0,563,0.464285714285714
"1736",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2019,58.8,50.6,0,0,688,0.743303571428571
"1737",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,72,65.8,0,0,569,0.477678571428571
"1738",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,28.6,13.4,0,0,644,0.645089285714286
"1739",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,68,63.3,0,0,630,0.613839285714286
"1740",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,54.2,52.4,0.64,1,767,0.871165644171779
"1741",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,68.6,65.6,0,0,765,0.867075664621677
"1742",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,70.1,66.5,0,1,760,0.856850715746421
"1743",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,52.4,47.8,0,1,709,0.752556237218814
"1744",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2015,57,52.8,0.08,0,819,0.977505112474438
"1745",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,66,60.5,0,0,774,0.885480572597137
"1746",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2015,58.3,47.5,0.07,0,677,0.687116564417178
"1747",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,44,27.7,0,0,676,0.685071574642127
"1748",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,73.6,70.2,0,1,753,0.842535787321063
"1749",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,65.6,58,0,0,732,0.79959100204499
